rank,name,symbol
1,Bitcoin,BTC
2,XRP,XRP
3,Litecoin,LTC
4,Dash,DASH
5,Stellar,XLM
6,MaidSafeCoin,MAID
7,BitShares,BTS
8,Nxt,NXT
9,Dogecoin,DOGE
10,Banx,BANX
11,Peercoin,PPC
12,Bytecoin,BCN
13,Monero,XMR
14,Namecoin,NMC
15,YbCoin,YBC
16,Counterparty,XCP
17,PayCoin,XPY
18,NuShares,NSR
19,SuperNET,UNITY
20,Swarm,SWARM
21,ARCHcoin,ARCH
22,MonaCoin,MONA
23,NEM,XEM
24,DNotes,NOTE
25,BlackCoin,BLK
26,BitcoinDark,BTCD
27,NuBits,USNBT
28,InstantDEX,DEX
29,VeriCoin,VRC
30,Clams,CLAM
31,Storjcoin X,SJCX
32,Startcoin,START
33,ShadowCash,SDC
34,DigiByte,DGB
35,Auroracoin,AUR
36,Novacoin,NVC
37,DigitalNote,XDN
38,Emercoin,EMC
39,Syscoin,SYS
40,Blocknet,BLOCK
41,ReddCoin,RDD
42,WorldCoin,WDC
43,Tether,USDT
44,CannabisCoin,CANN
45,Gulden,NLG
46,Crave,CRAVE
47,Feathercoin,FTC
48,GridCoin,GRC
49,BitBay,BAY
50,Primecoin,XPM
51,Quark,QRK
52,Megacoin,MEC
53,Positron,TRON
54,Xaurum,XAUR
55,bitUSD,BITUSD
56,NetCoin,NET
57,Diamond,DMD
58,PotCoin,POT
59,Horizon,HZ
60,Sling,SLING
61,Vcash,XVC
62,bitCNY,BITCNY
63,Ubiq,UBQ
64,FLO,FLO
65,AeroMe,AM
66,CacheCoin,CACH
67,VPNCoin,VASH
68,BitStake,XBS
69,Anoncoin,ANC
70,GoldCoin,GLC
71,Fibre,FIBRE
72,Mooncoin,MOON
73,Nas,NAS
74,Opal,OPAL
75,SpreadCoin,SPR
76,SuperCoin,SUPER
77,Bean Cash,BITB
78,Blitzcash,BLITZ
79,Myriad,XMY
80,Maieuticoin,MMXIV
81,Magi,XMG
82,Terracoin,TRC
83,ZcCoin,ZCC
84,Bytecent,BYC
85,JackpotCoin,JPC
86,Elektron,EKN
87,SecureCoin,SRC
88,LiteDoge,LDOGE
89,GlobalBoost-Y,BSTY
90,Coven,COV
91,PayCon,CON
92,BitcoinTX,BTX
93,Wild Beast Block,WBB
94,Droidz,DRZ
95,Sphere,SPHR
96,EnigmaCoin,EGMA
97,GlowShares,GSX
98,GetGems,GEMZ
99,FuelCoin,FC2
100,CoinoUSD,XUSD
101,FairCoin,FAIR
102,Ethercoin,ETC
103,SolarFarm,CELL
104,Omni,OMNI
105,Rimbit,RBT
106,TileCoin,XTC
107,NXTventure,NXTV
108,Unobtanium,UNO
109,Pangea Poker,PANGEA
110,ProsperityCoin,PRO
111,Jinn,JINN
112,Ixcoin,IXC
113,Experiment 10k,10K
114,Tradebots,NXTcoinsco
115,jl777hodl,JLH
116,MintCoin,MINT
117,Crypti,XCR
118,XCurrency,XC
119,I0Coin,I0C
120,LIQUID,LQD
121,SkyNET,SKYNET
122,sharkfund0,SF0
123,NavCoin,NAV
124,CloakCoin,CLOAK
125,Infinitecoin,IFC
126,FIMKrypto,FIMK
127,Curecoin,CURE
128,UCIcoin,UCI
129,Burst,BURST
130,Bitswift,BITS
131,Jay,JAY
132,Maxcoin,MAX
133,Zeitcoin,ZEIT
134,BilShares,BILS
135,BitShares PTS,PTS
136,SolarCoin,SLR
137,Qora,QORA
138,Coinomat,CNMT
139,NXTprivacy,NXTprivacy
140,Hyper,HYPER
141,ZiftrCOIN,ZRC
142,Circuits of Value,COVAL
143,Node,NODE
144,Cinni,CINNI
145,Uro,URO
146,MMNXT,MMNXT
147,Viacoin,VIA
148,Verge,XVG
149,I/O Coin,IOC
150,TEKcoin,TEK
151,NeoDICE,DICE
152,FreeMarket,MRKT
153,Vertcoin,VTC
154,EarthCoin,EAC
155,Zetacoin,ZET
156,Applecoin,APC
157,AsiaCoin,AC
158,ATOMIC,ATOMIC
159,MAZA,MAZA
160,Devcoin,DVC
161,Privatebet,Privatebet
162,Digitalcoin,DGC
163,Deutsche eMark,DEM
164,TrustPlus,TRUST
165,HoboNickels,HBN
166,Stealth,XST
167,UltraCoin,UTC
168,Rubycoin,RBY
169,MGW,MGW
170,Sapience AIFX,XAI
171,CleanWaterCoin,WATER
172,Dogeparty,XDP
173,Tickets,TIX
174,Boolberry,BBR
175,Nxttycoin,NXTTY
176,SmileyCoin,SMLY
177,BoostCoin,BOST
178,NautilusCoin,NAUT
179,Bitstar,BITS
180,MaryJane,MARYJ
181,Freicoin,FRC
182,DeBuNe,DEBUNE
183,Sync,SYNC
184,ECC,ECC
185,USDe,USDE
186,WhiteCoin,XWC
187,AmberCoin,AMBER
188,NobleCoin,NOBL
189,FlutterCoin,FLT
190,UnionCoin,UNC
191,Pinkcoin,PINK
192,StabilityShares,XSI
193,Virtacoin,VTA
194,HTML5COIN,HTML5
195,BlueCoin,BLU
196,Karmacoin,KARMA
197,HyperStake,HYP
198,Bullion,CBX
199,UnbreakableCoin,UNB
200,FlappyCoin,FLAP
